date,month,day,year,sunrise,sunset
1/1/2011,1,1,2011,727,1657
1/2/2011,1,2,2011,727,1658
1/3/2011,1,3,2011,727,1658
1/4/2011,1,4,2011,727,1659
1/5/2011,1,5,2011,727,1700
1/6/2011,1,6,2011,727,1701
1/7/2011,1,7,2011,727,1702
1/8/2011,1,8,2011,727,1703
1/9/2011,1,9,2011,727,1704
1/10/2011,1,10,2011,727,1705
1/11/2011,1,11,2011,726,1706
1/12/2011,1,12,2011,726,1707
1/13/2011,1,13,2011,726,1708
1/14/2011,1,14,2011,726,1709
1/15/2011,1,15,2011,725,1710
1/16/2011,1,16,2011,725,1711
1/17/2011,1,17,2011,724,1712
1/18/2011,1,18,2011,724,1713
1/19/2011,1,19,2011,724,1714
1/20/2011,1,20,2011,723,1715
1/21/2011,1,21,2011,723,1717
1/22/2011,1,22,2011,722,1718
1/23/2011,1,23,2011,721,1719
1/24/2011,1,24,2011,721,1720
1/25/2011,1,25,2011,720,1721
1/26/2011,1,26,2011,719,1722
1/27/2011,1,27,2011,719,1723
1/28/2011,1,28,2011,718,1725
1/29/2011,1,29,2011,717,1726
1/30/2011,1,30,2011,716,1727
1/31/2011,1,31,2011,715,1728
2/1/2011,2,1,2011,715,1729
2/2/2011,2,2,2011,714,1730
2/3/2011,2,3,2011,713,1732
2/4/2011,2,4,2011,712,1733
2/5/2011,2,5,2011,711,1734
2/6/2011,2,6,2011,710,1735
2/7/2011,2,7,2011,709,1736
2/8/2011,2,8,2011,708,1737
2/9/2011,2,9,2011,707,1739
2/10/2011,2,10,2011,706,1740
2/11/2011,2,11,2011,704,1741
2/12/2011,2,12,2011,703,1742
2/13/2011,2,13,2011,702,1743
2/14/2011,2,14,2011,701,1744
2/15/2011,2,15,2011,700,1745
2/16/2011,2,16,2011,658,1746
2/17/2011,2,17,2011,657,1748
2/18/2011,2,18,2011,656,1749
2/19/2011,2,19,2011,655,1750
2/20/2011,2,20,2011,653,1751
2/21/2011,2,21,2011,652,1752
2/22/2011,2,22,2011,651,1753
2/23/2011,2,23,2011,649,1754
2/24/2011,2,24,2011,648,1755
2/25/2011,2,25,2011,647,1756
2/26/2011,2,26,2011,645,1757
2/27/2011,2,27,2011,644,1758
2/28/2011,2,28,2011,642,1800
3/1/2011,3,1,2011,641,1801
3/2/2011,3,2,2011,640,1802
3/3/2011,3,3,2011,638,1803
3/4/2011,3,4,2011,637,1804
3/5/2011,3,5,2011,635,1805
3/6/2011,3,6,2011,634,1806
3/7/2011,3,7,2011,632,1807
3/8/2011,3,8,2011,631,1808
3/9/2011,3,9,2011,629,1809
3/10/2011,3,10,2011,628,1810
3/11/2011,3,11,2011,626,1811
3/12/2011,3,12,2011,625,1812
3/13/2011,3,13,2011,623,1813
3/14/2011,3,14,2011,621,1814
3/15/2011,3,15,2011,620,1815
3/16/2011,3,16,2011,618,1816
3/17/2011,3,17,2011,617,1817
3/18/2011,3,18,2011,615,1818
3/19/2011,3,19,2011,614,1819
3/20/2011,3,20,2011,612,1820
3/21/2011,3,21,2011,610,1821
3/22/2011,3,22,2011,609,1822
3/23/2011,3,23,2011,607,1823
3/24/2011,3,24,2011,606,1824
3/25/2011,3,25,2011,604,1825
3/26/2011,3,26,2011,603,1826
3/27/2011,3,27,2011,601,1827
3/28/2011,3,28,2011,600,1828
3/29/2011,3,29,2011,558,1829
3/30/2011,3,30,2011,556,1830
3/31/2011,3,31,2011,555,1830
4/1/2011,4,1,2011,553,1831
4/2/2011,4,2,2011,552,1832
4/3/2011,4,3,2011,550,1833
4/4/2011,4,4,2011,549,1834
4/5/2011,4,5,2011,547,1835
4/6/2011,4,6,2011,546,1836
4/7/2011,4,7,2011,544,1837
4/8/2011,4,8,2011,543,1838
4/9/2011,4,9,2011,541,1839
4/10/2011,4,10,2011,540,1840
4/11/2011,4,11,2011,538,1841
4/12/2011,4,12,2011,537,1842
4/13/2011,4,13,2011,535,1843
4/14/2011,4,14,2011,534,1844
4/15/2011,4,15,2011,532,1845
4/16/2011,4,16,2011,531,1846
4/17/2011,4,17,2011,529,1847
4/18/2011,4,18,2011,528,1848
4/19/2011,4,19,2011,526,1849
4/20/2011,4,20,2011,525,1850
4/21/2011,4,21,2011,524,1851
4/22/2011,4,22,2011,522,1852
4/23/2011,4,23,2011,521,1853
4/24/2011,4,24,2011,520,1854
4/25/2011,4,25,2011,518,1855
4/26/2011,4,26,2011,517,1856
4/27/2011,4,27,2011,516,1857
4/28/2011,4,28,2011,514,1858
4/29/2011,4,29,2011,513,1858
4/30/2011,4,30,2011,512,1859
5/1/2011,5,1,2011,511,1900
5/2/2011,5,2,2011,509,1901
5/3/2011,5,3,2011,508,1902
5/4/2011,5,4,2011,507,1903
5/5/2011,5,5,2011,506,1904
5/6/2011,5,6,2011,505,1905
5/7/2011,5,7,2011,504,1906
5/8/2011,5,8,2011,503,1907
5/9/2011,5,9,2011,502,1908
5/10/2011,5,10,2011,501,1909
5/11/2011,5,11,2011,500,1910
5/12/2011,5,12,2011,459,1911
5/13/2011,5,13,2011,458,1912
5/14/2011,5,14,2011,457,1913
5/15/2011,5,15,2011,456,1914
5/16/2011,5,16,2011,455,1914
5/17/2011,5,17,2011,454,1915
5/18/2011,5,18,2011,453,1916
5/19/2011,5,19,2011,453,1917
5/20/2011,5,20,2011,452,1918
5/21/2011,5,21,2011,451,1919
5/22/2011,5,22,2011,450,1920
5/23/2011,5,23,2011,450,1921
5/24/2011,5,24,2011,449,1921
5/25/2011,5,25,2011,448,1922
5/26/2011,5,26,2011,448,1923
5/27/2011,5,27,2011,447,1924
5/28/2011,5,28,2011,447,1924
5/29/2011,5,29,2011,446,1925
5/30/2011,5,30,2011,446,1926
5/31/2011,5,31,2011,445,1927
6/1/2011,6,1,2011,445,1927
6/2/2011,6,2,2011,444,1928
6/3/2011,6,3,2011,444,1929
6/4/2011,6,4,2011,444,1929
6/5/2011,6,5,2011,444,1930
6/6/2011,6,6,2011,443,1931
6/7/2011,6,7,2011,443,1931
6/8/2011,6,8,2011,443,1932
6/9/2011,6,9,2011,443,1932
6/10/2011,6,10,2011,443,1933
6/11/2011,6,11,2011,442,1933
6/12/2011,6,12,2011,442,1934
6/13/2011,6,13,2011,442,1934
6/14/2011,6,14,2011,442,1935
6/15/2011,6,15,2011,442,1935
6/16/2011,6,16,2011,442,1935
6/17/2011,6,17,2011,442,1936
6/18/2011,6,18,2011,443,1936
6/19/2011,6,19,2011,443,1936
6/20/2011,6,20,2011,443,1937
6/21/2011,6,21,2011,443,1937
6/22/2011,6,22,2011,443,1937
6/23/2011,6,23,2011,443,1937
6/24/2011,6,24,2011,444,1937
6/25/2011,6,25,2011,444,1937
6/26/2011,6,26,2011,444,1937
6/27/2011,6,27,2011,445,1938
6/28/2011,6,28,2011,445,1938
6/29/2011,6,29,2011,446,1938
6/30/2011,6,30,2011,446,1937
7/1/2011,7,1,2011,446,1937
7/2/2011,7,2,2011,447,1937
7/3/2011,7,3,2011,447,1937
7/4/2011,7,4,2011,448,1937
7/5/2011,7,5,2011,449,1937
7/6/2011,7,6,2011,449,1936
7/7/2011,7,7,2011,450,1936
7/8/2011,7,8,2011,450,1936
7/9/2011,7,9,2011,451,1936
7/10/2011,7,10,2011,452,1935
7/11/2011,7,11,2011,452,1935
7/12/2011,7,12,2011,453,1934
7/13/2011,7,13,2011,454,1934
7/14/2011,7,14,2011,454,1933
7/15/2011,7,15,2011,455,1933
7/16/2011,7,16,2011,456,1932
7/17/2011,7,17,2011,456,1932
7/18/2011,7,18,2011,457,1931
7/19/2011,7,19,2011,458,1930
7/20/2011,7,20,2011,459,1930
7/21/2011,7,21,2011,500,1929
7/22/2011,7,22,2011,500,1928
7/23/2011,7,23,2011,501,1928
7/24/2011,7,24,2011,502,1927
7/25/2011,7,25,2011,503,1926
7/26/2011,7,26,2011,504,1925
7/27/2011,7,27,2011,505,1924
7/28/2011,7,28,2011,505,1923
7/29/2011,7,29,2011,506,1922
7/30/2011,7,30,2011,507,1921
7/31/2011,7,31,2011,508,1920
8/1/2011,8,1,2011,509,1919
8/2/2011,8,2,2011,510,1918
8/3/2011,8,3,2011,511,1917
8/4/2011,8,4,2011,512,1916
8/5/2011,8,5,2011,512,1915
8/6/2011,8,6,2011,513,1914
8/7/2011,8,7,2011,514,1913
8/8/2011,8,8,2011,515,1912
8/9/2011,8,9,2011,516,1911
8/10/2011,8,10,2011,517,1909
8/11/2011,8,11,2011,518,1908
8/12/2011,8,12,2011,519,1907
8/13/2011,8,13,2011,520,1906
8/14/2011,8,14,2011,521,1904
8/15/2011,8,15,2011,521,1903
8/16/2011,8,16,2011,522,1902
8/17/2011,8,17,2011,523,1900
8/18/2011,8,18,2011,524,1859
8/19/2011,8,19,2011,525,1858
8/20/2011,8,20,2011,526,1856
8/21/2011,8,21,2011,527,1855
8/22/2011,8,22,2011,528,1854
8/23/2011,8,23,2011,529,1852
8/24/2011,8,24,2011,530,1851
8/25/2011,8,25,2011,531,1849
8/26/2011,8,26,2011,531,1848
8/27/2011,8,27,2011,532,1846
8/28/2011,8,28,2011,533,1845
8/29/2011,8,29,2011,534,1843
8/30/2011,8,30,2011,535,1842
8/31/2011,8,31,2011,536,1840
9/1/2011,9,1,2011,537,1839
9/2/2011,9,2,2011,538,1837
9/3/2011,9,3,2011,539,1836
9/4/2011,9,4,2011,540,1834
9/5/2011,9,5,2011,540,1833
9/6/2011,9,6,2011,541,1831
9/7/2011,9,7,2011,542,1830
9/8/2011,9,8,2011,543,1828
9/9/2011,9,9,2011,544,1826
9/10/2011,9,10,2011,545,1825
9/11/2011,9,11,2011,546,1823
9/12/2011,9,12,2011,547,1822
9/13/2011,9,13,2011,548,1820
9/14/2011,9,14,2011,548,1818
9/15/2011,9,15,2011,549,1817
9/16/2011,9,16,2011,550,1815
9/17/2011,9,17,2011,551,1814
9/18/2011,9,18,2011,552,1812
9/19/2011,9,19,2011,553,1810
9/20/2011,9,20,2011,554,1809
9/21/2011,9,21,2011,555,1807
9/22/2011,9,22,2011,556,1806
9/23/2011,9,23,2011,556,1804
9/24/2011,9,24,2011,557,1802
9/25/2011,9,25,2011,558,1801
9/26/2011,9,26,2011,559,1759
9/27/2011,9,27,2011,600,1758
9/28/2011,9,28,2011,601,1756
9/29/2011,9,29,2011,602,1754
9/30/2011,9,30,2011,603,1753
10/1/2011,10,1,2011,604,1751
10/2/2011,10,2,2011,605,1750
10/3/2011,10,3,2011,606,1748
10/4/2011,10,4,2011,607,1747
10/5/2011,10,5,2011,608,1745
10/6/2011,10,6,2011,608,1743
10/7/2011,10,7,2011,609,1742
10/8/2011,10,8,2011,610,1740
10/9/2011,10,9,2011,611,1739
10/10/2011,10,10,2011,612,1737
10/11/2011,10,11,2011,613,1736
10/12/2011,10,12,2011,614,1734
10/13/2011,10,13,2011,615,1733
10/14/2011,10,14,2011,616,1731
10/15/2011,10,15,2011,617,1730
10/16/2011,10,16,2011,618,1729
10/17/2011,10,17,2011,619,1727
10/18/2011,10,18,2011,620,1726
10/19/2011,10,19,2011,621,1724
10/20/2011,10,20,2011,622,1723
10/21/2011,10,21,2011,623,1722
10/22/2011,10,22,2011,624,1720
10/23/2011,10,23,2011,625,1719
10/24/2011,10,24,2011,626,1718
10/25/2011,10,25,2011,628,1716
10/26/2011,10,26,2011,629,1715
10/27/2011,10,27,2011,630,1714
10/28/2011,10,28,2011,631,1713
10/29/2011,10,29,2011,632,1711
10/30/2011,10,30,2011,633,1710
10/31/2011,10,31,2011,634,1709
11/1/2011,11,1,2011,635,1708
11/2/2011,11,2,2011,636,1707
11/3/2011,11,3,2011,637,1706
11/4/2011,11,4,2011,638,1705
11/5/2011,11,5,2011,639,1704
11/6/2011,11,6,2011,641,1703
11/7/2011,11,7,2011,642,1702
11/8/2011,11,8,2011,643,1701
11/9/2011,11,9,2011,644,1700
11/10/2011,11,10,2011,645,1659
11/11/2011,11,11,2011,646,1658
11/12/2011,11,12,2011,647,1657
11/13/2011,11,13,2011,648,1656
11/14/2011,11,14,2011,649,1655
11/15/2011,11,15,2011,650,1655
11/16/2011,11,16,2011,652,1654
11/17/2011,11,17,2011,653,1653
11/18/2011,11,18,2011,654,1652
11/19/2011,11,19,2011,655,1652
11/20/2011,11,20,2011,656,1651
11/21/2011,11,21,2011,657,1651
11/22/2011,11,22,2011,658,1650
11/23/2011,11,23,2011,659,1649
11/24/2011,11,24,2011,700,1649
11/25/2011,11,25,2011,701,1649
11/26/2011,11,26,2011,702,1648
11/27/2011,11,27,2011,703,1648
11/28/2011,11,28,2011,704,1647
11/29/2011,11,29,2011,705,1647
11/30/2011,11,30,2011,706,1647
12/1/2011,12,1,2011,707,1647
12/2/2011,12,2,2011,708,1646
12/3/2011,12,3,2011,709,1646
12/4/2011,12,4,2011,710,1646
12/5/2011,12,5,2011,711,1646
12/6/2011,12,6,2011,712,1646
12/7/2011,12,7,2011,713,1646
12/8/2011,12,8,2011,714,1646
12/9/2011,12,9,2011,715,1646
12/10/2011,12,10,2011,716,1646
12/11/2011,12,11,2011,716,1646
12/12/2011,12,12,2011,717,1646
12/13/2011,12,13,2011,718,1647
12/14/2011,12,14,2011,719,1647
12/15/2011,12,15,2011,719,1647
12/16/2011,12,16,2011,720,1647
12/17/2011,12,17,2011,721,1648
12/18/2011,12,18,2011,721,1648
12/19/2011,12,19,2011,722,1648
12/20/2011,12,20,2011,722,1649
12/21/2011,12,21,2011,723,1649
12/22/2011,12,22,2011,723,1650
12/23/2011,12,23,2011,724,1650
12/24/2011,12,24,2011,724,1651
12/25/2011,12,25,2011,725,1652
12/26/2011,12,26,2011,725,1652
12/27/2011,12,27,2011,725,1653
12/28/2011,12,28,2011,726,1654
12/29/2011,12,29,2011,726,1654
12/30/2011,12,30,2011,726,1655
12/31/2011,12,31,2011,727,1656
1/1/2012,1,1,2012,727,1657
1/2/2012,1,2,2012,727,1657
1/3/2012,1,3,2012,727,1658
1/4/2012,1,4,2012,727,1659
1/5/2012,1,5,2012,727,1700
1/6/2012,1,6,2012,727,1701
1/7/2012,1,7,2012,727,1702
1/8/2012,1,8,2012,727,1703
1/9/2012,1,9,2012,727,1704
1/10/2012,1,10,2012,727,1705
1/11/2012,1,11,2012,726,1706
1/12/2012,1,12,2012,726,1707
1/13/2012,1,13,2012,726,1708
1/14/2012,1,14,2012,726,1709
1/15/2012,1,15,2012,725,1710
1/16/2012,1,16,2012,725,1711
1/17/2012,1,17,2012,725,1712
1/18/2012,1,18,2012,724,1713
1/19/2012,1,19,2012,724,1714
1/20/2012,1,20,2012,723,1715
1/21/2012,1,21,2012,723,1716
1/22/2012,1,22,2012,722,1717
1/23/2012,1,23,2012,722,1719
1/24/2012,1,24,2012,721,1720
1/25/2012,1,25,2012,720,1721
1/26/2012,1,26,2012,720,1722
1/27/2012,1,27,2012,719,1723
1/28/2012,1,28,2012,718,1724
1/29/2012,1,29,2012,717,1725
1/30/2012,1,30,2012,716,1727
1/31/2012,1,31,2012,716,1728
2/1/2012,2,1,2012,715,1729
2/2/2012,2,2,2012,714,1730
2/3/2012,2,3,2012,713,1731
2/4/2012,2,4,2012,712,1732
2/5/2012,2,5,2012,711,1734
2/6/2012,2,6,2012,710,1735
2/7/2012,2,7,2012,709,1736
2/8/2012,2,8,2012,708,1737
2/9/2012,2,9,2012,707,1738
2/10/2012,2,10,2012,706,1739
2/11/2012,2,11,2012,705,1741
2/12/2012,2,12,2012,704,1742
2/13/2012,2,13,2012,702,1743
2/14/2012,2,14,2012,701,1744
2/15/2012,2,15,2012,700,1745
2/16/2012,2,16,2012,659,1746
2/17/2012,2,17,2012,658,1747
2/18/2012,2,18,2012,656,1748
2/19/2012,2,19,2012,655,1750
2/20/2012,2,20,2012,654,1751
2/21/2012,2,21,2012,652,1752
2/22/2012,2,22,2012,651,1753
2/23/2012,2,23,2012,650,1754
2/24/2012,2,24,2012,648,1755
2/25/2012,2,25,2012,647,1756
2/26/2012,2,26,2012,646,1757
2/27/2012,2,27,2012,644,1758
2/28/2012,2,28,2012,643,1759
2/29/2012,2,29,2012,641,1800
3/1/2012,3,1,2012,640,1801
3/2/2012,3,2,2012,638,1802
3/3/2012,3,3,2012,637,1803
3/4/2012,3,4,2012,635,1805
3/5/2012,3,5,2012,634,1806
3/6/2012,3,6,2012,632,1807
3/7/2012,3,7,2012,631,1808
3/8/2012,3,8,2012,629,1809
3/9/2012,3,9,2012,628,1810
3/10/2012,3,10,2012,626,1811
3/11/2012,3,11,2012,625,1812
3/12/2012,3,12,2012,623,1813
3/13/2012,3,13,2012,622,1814
3/14/2012,3,14,2012,620,1815
3/15/2012,3,15,2012,619,1816
3/16/2012,3,16,2012,617,1817
3/17/2012,3,17,2012,616,1818
3/18/2012,3,18,2012,614,1819
3/19/2012,3,19,2012,612,1820
3/20/2012,3,20,2012,611,1821
3/21/2012,3,21,2012,609,1822
3/22/2012,3,22,2012,608,1823
3/23/2012,3,23,2012,606,1823
3/24/2012,3,24,2012,605,1824
3/25/2012,3,25,2012,603,1825
3/26/2012,3,26,2012,601,1826
3/27/2012,3,27,2012,600,1827
3/28/2012,3,28,2012,558,1828
3/29/2012,3,29,2012,557,1829
3/30/2012,3,30,2012,555,1830
3/31/2012,3,31,2012,554,1831
4/1/2012,4,1,2012,552,1832
4/2/2012,4,2,2012,551,1833
4/3/2012,4,3,2012,549,1834
4/4/2012,4,4,2012,547,1835
4/5/2012,4,5,2012,546,1836
4/6/2012,4,6,2012,544,1837
4/7/2012,4,7,2012,543,1838
4/8/2012,4,8,2012,541,1839
4/9/2012,4,9,2012,540,1840
4/10/2012,4,10,2012,538,1841
4/11/2012,4,11,2012,537,1842
4/12/2012,4,12,2012,535,1843
4/13/2012,4,13,2012,534,1844
4/14/2012,4,14,2012,532,1845
4/15/2012,4,15,2012,531,1846
4/16/2012,4,16,2012,530,1847
4/17/2012,4,17,2012,528,1848
4/18/2012,4,18,2012,527,1849
4/19/2012,4,19,2012,525,1850
4/20/2012,4,20,2012,524,1851
4/21/2012,4,21,2012,523,1851
4/22/2012,4,22,2012,521,1852
4/23/2012,4,23,2012,520,1853
4/24/2012,4,24,2012,519,1854
4/25/2012,4,25,2012,517,1855
4/26/2012,4,26,2012,516,1856
4/27/2012,4,27,2012,515,1857
4/28/2012,4,28,2012,513,1858
4/29/2012,4,29,2012,512,1859
4/30/2012,4,30,2012,511,1900
5/1/2012,5,1,2012,510,1901
5/2/2012,5,2,2012,509,1902
5/3/2012,5,3,2012,507,1903
5/4/2012,5,4,2012,506,1904
5/5/2012,5,5,2012,505,1905
5/6/2012,5,6,2012,504,1906
5/7/2012,5,7,2012,503,1907
5/8/2012,5,8,2012,502,1908
5/9/2012,5,9,2012,501,1909
5/10/2012,5,10,2012,500,1910
5/11/2012,5,11,2012,459,1911
5/12/2012,5,12,2012,458,1911
5/13/2012,5,13,2012,457,1912
5/14/2012,5,14,2012,456,1913
5/15/2012,5,15,2012,455,1914
5/16/2012,5,16,2012,454,1915
5/17/2012,5,17,2012,454,1916
5/18/2012,5,18,2012,453,1917
5/19/2012,5,19,2012,452,1918
5/20/2012,5,20,2012,451,1919
5/21/2012,5,21,2012,451,1919
5/22/2012,5,22,2012,450,1920
5/23/2012,5,23,2012,449,1921
5/24/2012,5,24,2012,449,1922
5/25/2012,5,25,2012,448,1923
5/26/2012,5,26,2012,447,1924
5/27/2012,5,27,2012,447,1924
5/28/2012,5,28,2012,446,1925
5/29/2012,5,29,2012,446,1926
5/30/2012,5,30,2012,445,1927
5/31/2012,5,31,2012,445,1927
6/1/2012,6,1,2012,445,1928
6/2/2012,6,2,2012,444,1929
6/3/2012,6,3,2012,444,1929
6/4/2012,6,4,2012,444,1930
6/5/2012,6,5,2012,443,1930
6/6/2012,6,6,2012,443,1931
6/7/2012,6,7,2012,443,1932
6/8/2012,6,8,2012,443,1932
6/9/2012,6,9,2012,443,1933
6/10/2012,6,10,2012,442,1933
6/11/2012,6,11,2012,442,1934
6/12/2012,6,12,2012,442,1934
6/13/2012,6,13,2012,442,1935
6/14/2012,6,14,2012,442,1935
6/15/2012,6,15,2012,442,1935
6/16/2012,6,16,2012,442,1936
6/17/2012,6,17,2012,442,1936
6/18/2012,6,18,2012,443,1936
6/19/2012,6,19,2012,443,1937
6/20/2012,6,20,2012,443,1937
6/21/2012,6,21,2012,443,1937
6/22/2012,6,22,2012,443,1937
6/23/2012,6,23,2012,444,1937
6/24/2012,6,24,2012,444,1937
6/25/2012,6,25,2012,444,1937
6/26/2012,6,26,2012,445,1938
6/27/2012,6,27,2012,445,1938
6/28/2012,6,28,2012,445,1938
6/29/2012,6,29,2012,446,1937
6/30/2012,6,30,2012,446,1937
7/1/2012,7,1,2012,447,1937
7/2/2012,7,2,2012,447,1937
7/3/2012,7,3,2012,448,1937
7/4/2012,7,4,2012,448,1937
7/5/2012,7,5,2012,449,1937
7/6/2012,7,6,2012,449,1936
7/7/2012,7,7,2012,450,1936
7/8/2012,7,8,2012,451,1936
7/9/2012,7,9,2012,451,1935
7/10/2012,7,10,2012,452,1935
7/11/2012,7,11,2012,453,1934
7/12/2012,7,12,2012,453,1934
7/13/2012,7,13,2012,454,1933
7/14/2012,7,14,2012,455,1933
7/15/2012,7,15,2012,456,1932
7/16/2012,7,16,2012,456,1932
7/17/2012,7,17,2012,457,1931
7/18/2012,7,18,2012,458,1931
7/19/2012,7,19,2012,459,1930
7/20/2012,7,20,2012,459,1929
7/21/2012,7,21,2012,500,1929
7/22/2012,7,22,2012,501,1928
7/23/2012,7,23,2012,502,1927
7/24/2012,7,24,2012,503,1926
7/25/2012,7,25,2012,503,1925
7/26/2012,7,26,2012,504,1924
7/27/2012,7,27,2012,505,1924
7/28/2012,7,28,2012,506,1923
7/29/2012,7,29,2012,507,1922
7/30/2012,7,30,2012,508,1921
7/31/2012,7,31,2012,509,1920
8/1/2012,8,1,2012,510,1919
8/2/2012,8,2,2012,510,1918
8/3/2012,8,3,2012,511,1917
8/4/2012,8,4,2012,512,1915
8/5/2012,8,5,2012,513,1914
8/6/2012,8,6,2012,514,1913
8/7/2012,8,7,2012,515,1912
8/8/2012,8,8,2012,516,1911
8/9/2012,8,9,2012,517,1910
8/10/2012,8,10,2012,518,1908
8/11/2012,8,11,2012,519,1907
8/12/2012,8,12,2012,519,1906
8/13/2012,8,13,2012,520,1905
8/14/2012,8,14,2012,521,1903
8/15/2012,8,15,2012,522,1902
8/16/2012,8,16,2012,523,1901
8/17/2012,8,17,2012,524,1859
8/18/2012,8,18,2012,525,1858
8/19/2012,8,19,2012,526,1857
8/20/2012,8,20,2012,527,1855
8/21/2012,8,21,2012,528,1854
8/22/2012,8,22,2012,529,1853
8/23/2012,8,23,2012,529,1851
8/24/2012,8,24,2012,530,1850
8/25/2012,8,25,2012,531,1848
8/26/2012,8,26,2012,532,1847
8/27/2012,8,27,2012,533,1845
8/28/2012,8,28,2012,534,1844
8/29/2012,8,29,2012,535,1842
8/30/2012,8,30,2012,536,1841
8/31/2012,8,31,2012,537,1839
9/1/2012,9,1,2012,537,1838
9/2/2012,9,2,2012,538,1836
9/3/2012,9,3,2012,539,1835
9/4/2012,9,4,2012,540,1833
9/5/2012,9,5,2012,541,1831
9/6/2012,9,6,2012,542,1830
9/7/2012,9,7,2012,543,1828
9/8/2012,9,8,2012,544,1827
9/9/2012,9,9,2012,545,1825
9/10/2012,9,10,2012,545,1824
9/11/2012,9,11,2012,546,1822
9/12/2012,9,12,2012,547,1820
9/13/2012,9,13,2012,548,1819
9/14/2012,9,14,2012,549,1817
9/15/2012,9,15,2012,550,1816
9/16/2012,9,16,2012,551,1814
9/17/2012,9,17,2012,552,1812
9/18/2012,9,18,2012,553,1811
9/19/2012,9,19,2012,554,1809
9/20/2012,9,20,2012,554,1808
9/21/2012,9,21,2012,555,1806
9/22/2012,9,22,2012,556,1804
9/23/2012,9,23,2012,557,1803
9/24/2012,9,24,2012,558,1801
9/25/2012,9,25,2012,559,1800
9/26/2012,9,26,2012,600,1758
9/27/2012,9,27,2012,601,1756
9/28/2012,9,28,2012,602,1755
9/29/2012,9,29,2012,603,1753
9/30/2012,9,30,2012,604,1752
10/1/2012,10,1,2012,604,1750
10/2/2012,10,2,2012,605,1749
10/3/2012,10,3,2012,606,1747
10/4/2012,10,4,2012,607,1745
10/5/2012,10,5,2012,608,1744
10/6/2012,10,6,2012,609,1742
10/7/2012,10,7,2012,610,1741
10/8/2012,10,8,2012,611,1739
10/9/2012,10,9,2012,612,1738
10/10/2012,10,10,2012,613,1736
10/11/2012,10,11,2012,614,1735
10/12/2012,10,12,2012,615,1733
10/13/2012,10,13,2012,616,1732
10/14/2012,10,14,2012,617,1730
10/15/2012,10,15,2012,618,1729
10/16/2012,10,16,2012,619,1728
10/17/2012,10,17,2012,620,1726
10/18/2012,10,18,2012,621,1725
10/19/2012,10,19,2012,622,1723
10/20/2012,10,20,2012,623,1722
10/21/2012,10,21,2012,624,1721
10/22/2012,10,22,2012,625,1719
10/23/2012,10,23,2012,626,1718
10/24/2012,10,24,2012,627,1717
10/25/2012,10,25,2012,628,1715
10/26/2012,10,26,2012,629,1714
10/27/2012,10,27,2012,630,1713
10/28/2012,10,28,2012,632,1712
10/29/2012,10,29,2012,633,1711
10/30/2012,10,30,2012,634,1709
10/31/2012,10,31,2012,635,1708
11/1/2012,11,1,2012,636,1707
11/2/2012,11,2,2012,637,1706
11/3/2012,11,3,2012,638,1705
11/4/2012,11,4,2012,639,1704
11/5/2012,11,5,2012,640,1703
11/6/2012,11,6,2012,641,1702
11/7/2012,11,7,2012,642,1701
11/8/2012,11,8,2012,644,1700
11/9/2012,11,9,2012,645,1659
11/10/2012,11,10,2012,646,1658
11/11/2012,11,11,2012,647,1657
11/12/2012,11,12,2012,648,1656
11/13/2012,11,13,2012,649,1656
11/14/2012,11,14,2012,650,1655
11/15/2012,11,15,2012,651,1654
11/16/2012,11,16,2012,652,1653
11/17/2012,11,17,2012,654,1653
11/18/2012,11,18,2012,655,1652
11/19/2012,11,19,2012,656,1651
11/20/2012,11,20,2012,657,1651
11/21/2012,11,21,2012,658,1650
11/22/2012,11,22,2012,659,1650
11/23/2012,11,23,2012,700,1649
11/24/2012,11,24,2012,701,1649
11/25/2012,11,25,2012,702,1648
11/26/2012,11,26,2012,703,1648
11/27/2012,11,27,2012,704,1647
11/28/2012,11,28,2012,705,1647
11/29/2012,11,29,2012,706,1647
11/30/2012,11,30,2012,707,1647
12/1/2012,12,1,2012,708,1646
12/2/2012,12,2,2012,709,1646
12/3/2012,12,3,2012,710,1646
12/4/2012,12,4,2012,711,1646
12/5/2012,12,5,2012,712,1646
12/6/2012,12,6,2012,713,1646
12/7/2012,12,7,2012,714,1646
12/8/2012,12,8,2012,714,1646
12/9/2012,12,9,2012,715,1646
12/10/2012,12,10,2012,716,1646
12/11/2012,12,11,2012,717,1646
12/12/2012,12,12,2012,718,1647
12/13/2012,12,13,2012,718,1647
12/14/2012,12,14,2012,719,1647
12/15/2012,12,15,2012,720,1647
12/16/2012,12,16,2012,720,1648
12/17/2012,12,17,2012,721,1648
12/18/2012,12,18,2012,722,1648
12/19/2012,12,19,2012,722,1649
12/20/2012,12,20,2012,723,1649
12/21/2012,12,21,2012,723,1650
12/22/2012,12,22,2012,724,1650
12/23/2012,12,23,2012,724,1651
12/24/2012,12,24,2012,725,1651
12/25/2012,12,25,2012,725,1652
12/26/2012,12,26,2012,725,1653
12/27/2012,12,27,2012,726,1653
12/28/2012,12,28,2012,726,1654
12/29/2012,12,29,2012,726,1655
12/30/2012,12,30,2012,726,1656
12/31/2012,12,31,2012,727,1656
